studyName,observationUnitName,germplasmName,observationVariableName,value,plotNumber
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13615_2001,NW13615,Grain yield - kg/ha|CO_321:0001218,3423,2001
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13615_2001,NW13615,Plant height - cm|CO_321:0001301,82,2001
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13457_2002,NW13457,Grain yield - kg/ha|CO_321:0001218,3383,2002
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13457_2002,NW13457,Plant height - cm|CO_321:0001301,80,2002
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13502_2003,NW13502,Grain yield - kg/ha|CO_321:0001218,3753,2003
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13502_2003,NW13502,Plant height - cm|CO_321:0001301,84,2003
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13575_2004,NW13575,Grain yield - kg/ha|CO_321:0001218,3188,2004
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13575_2004,NW13575,Plant height - cm|CO_321:0001301,84,2004
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1746_2005,CO11D1746,Grain yield - kg/ha|CO_321:0001218,3410,2005
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1746_2005,CO11D1746,Plant height - cm|CO_321:0001301,86,2005
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1715_2006,CO11D1715,Grain yield - kg/ha|CO_321:0001218,3665,2006
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1715_2006,CO11D1715,Plant height - cm|CO_321:0001301,80,2006
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1731_2007,CO11D1731,Grain yield - kg/ha|CO_321:0001218,3948,2007
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1731_2007,CO11D1731,Plant height - cm|CO_321:0001301,76,2007
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1686_2008,CO11D1686,Grain yield - kg/ha|CO_321:0001218,4492,2008
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1686_2008,CO11D1686,Plant height - cm|CO_321:0001301,78,2008
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13455_2009,NW13455,Grain yield - kg/ha|CO_321:0001218,3887,2009
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13455_2009,NW13455,Plant height - cm|CO_321:0001301,82,2009
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13526_2010,NW13526,Grain yield - kg/ha|CO_321:0001218,3759,2010
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13526_2010,NW13526,Plant height - cm|CO_321:0001301,80,2010
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13628_2011,NE13628,Grain yield - kg/ha|CO_321:0001218,3329,2011
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13628_2011,NE13628,Plant height - cm|CO_321:0001301,84,2011
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13449_2012,NE13449,Grain yield - kg/ha|CO_321:0001218,3356,2012
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13449_2012,NE13449,Plant height - cm|CO_321:0001301,76,2012
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1380_2013,CO11D1380,Grain yield - kg/ha|CO_321:0001218,3793,2013
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1380_2013,CO11D1380,Plant height - cm|CO_321:0001301,82,2013
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1353_2014,CO11D1353,Grain yield - kg/ha|CO_321:0001218,4264,2014
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1353_2014,CO11D1353,Plant height - cm|CO_321:0001301,86,2014
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1397_2015,CO11D1397,Grain yield - kg/ha|CO_321:0001218,3638,2015
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1397_2015,CO11D1397,Plant height - cm|CO_321:0001301,80,2015
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1371_2016,CO11D1371,Grain yield - kg/ha|CO_321:0001218,3779,2016
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1371_2016,CO11D1371,Plant height - cm|CO_321:0001301,84,2016
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1409_2017,CO11D1409,Grain yield - kg/ha|CO_321:0001218,3652,2017
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1409_2017,CO11D1409,Plant height - cm|CO_321:0001301,92,2017
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1418_2018,CO11D1418,Grain yield - kg/ha|CO_321:0001218,4781,2018
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1418_2018,CO11D1418,Plant height - cm|CO_321:0001301,76,2018
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1414_2019,CO11D1414,Grain yield - kg/ha|CO_321:0001218,4223,2019
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1414_2019,CO11D1414,Plant height - cm|CO_321:0001301,88,2019
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1431_2020,CO11D1431,Grain yield - kg/ha|CO_321:0001218,4479,2020
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1431_2020,CO11D1431,Plant height - cm|CO_321:0001301,76,2020
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE12568_2021,NE12568,Grain yield - kg/ha|CO_321:0001218,2340,2021
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE12568_2021,NE12568,Plant height - cm|CO_321:0001301,82,2021
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE12571_2022,NE12571,Grain yield - kg/ha|CO_321:0001218,3551,2022
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE12571_2022,NE12571,Plant height - cm|CO_321:0001301,88,2022
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1543_2023,CO11D1543,Grain yield - kg/ha|CO_321:0001218,3638,2023
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1543_2023,CO11D1543,Plant height - cm|CO_321:0001301,92,2023
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1539_2024,CO11D1539,Grain yield - kg/ha|CO_321:0001218,4385,2024
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1539_2024,CO11D1539,Plant height - cm|CO_321:0001301,90,2024
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1545_2025,CO11D1545,Grain yield - kg/ha|CO_321:0001218,4365,2025
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1545_2025,CO11D1545,Plant height - cm|CO_321:0001301,86,2025
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1542_2026,CO11D1542,Grain yield - kg/ha|CO_321:0001218,4607,2026
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1542_2026,CO11D1542,Plant height - cm|CO_321:0001301,88,2026
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13697_2027,NE13697,Grain yield - kg/ha|CO_321:0001218,4539,2027
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13697_2027,NE13697,Plant height - cm|CO_321:0001301,86,2027
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13698_2028,NE13698,Grain yield - kg/ha|CO_321:0001218,4452,2028
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13698_2028,NE13698,Plant height - cm|CO_321:0001301,84,2028
