studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Grain protein content -  %|CO_321:0001205,Grain test weight - g/l|CO_321:0001210,Grain yield - kg/ha|CO_321:0001218,notes
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",228290,EXPEDITION,,plot,1383856,2022_AYT_Aurora-PLOT2124,2,2,2124,18,3,test,,12.9,762,4674," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",234886,IDEAL,,plot,1383749,2022_AYT_Aurora-PLOT2061,2,2,2061,14,10,test,,11.5,760.7,5541.5," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",238309,OVERLAND,"NE01643,STEV.BAE.FIRSTSERIE_ENTRY36",plot,1383909,2022_AYT_Aurora-PLOT2104,2,2,2104,17,6,test,,12.1,762,5454.1," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",238948,REDFIELD,,plot,1383707,2022_AYT_Aurora-PLOT2081,2,2,2081,15,11,test,,12,763.3,5090.9," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382813,SD18B010-29,,plot,1383905,2022_AYT_Aurora-PLOT1007,1,1,1007,1,7,test,,14.4,740.1,2804.4," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382813,SD18B010-29,,plot,1383906,2022_AYT_Aurora-PLOT2029,2,2,2029,12,14,test,,13.5,751.7,4068.7," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382719,SD18B017-6,,plot,1383747,2022_AYT_Aurora-PLOT1008,1,1,1008,1,8,test,,13.9,738.8,," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382719,SD18B017-6,,plot,1383812,2022_AYT_Aurora-PLOT2034,2,2,2034,12,9,test,,11.5,755.6,5514.6," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382704,SD18B134-16,,plot,1383738,2022_AYT_Aurora-PLOT1009,1,1,1009,1,9,test,,14.1,751.7,4257," (Operator: dwaring87, Time: )"
2022,351,South Dakota State University- Winter Wheat,Sunish Sehgal,9424,2022_AYT_Aurora,2022 AYT Yield Trial @ Aurora,RCBD,,,,,,2021-September-21,2022-July-21,280,"Aurora, SD",1382704,SD18B134-16,,plot,1383913,2022_AYT_Aurora-PLOT2046,2,2,2046,13,4,test,,11.8,744,5911.4," (Operator: dwaring87, Time: )"
